wallet,points,%
6ok53aCpvJCd45SnpWyuKeNVcBdtssZswQDXjQYzBK5A,33679.22478719719,0.2878322670748133
6DinGrn9CuKJBbQ26JHJGDer7jgvv9et6Fzz9zJVjgez,19513.417618208186,0.16676723609034952
CZkSLrPzAUFJJ1LucgzWifk4o35QAVbHaBEdfMmD79rr,2367.8744971104034,0.02023653124317176
BdfFxVJFvPLXnMBWbozC8Ar4yP6eDnS4mRsKxojjPZfo,1551.9930481742463,0.013263775528175363
AXGHPpxMrcMEfiSadUhe1Vy3gY2PtNJPtXyXzGnDWxkw,2032.0715620662147,0.017366663522199528
HTgYpkUFRWnftfivJEkPLeMXqnSXq9jiGL7wPL5AerQP,12715.71020676103,0.10867208848790598
C7UE9nsunTqdQ5L95Sn9vWuaLFYLMu8cJaqZ7ij3o4xb,41428.35446091122,0.3540585408662961
8eg9Up6MdetByN6AXLBZo7YYWAHkVDEKqi2f5m4DuX3P,2354.0835679142765,0.02011867002633347
2ygDhwpwcGVm4nZGXfWUpFpxQgVLxBPvjyc1VsqPDXX7,13223.921116247187,0.11301540396365768
BdT2rKTLPgG8PdtGdNaWRzU6EutmgDQ1WatwrkJEBU1L,4629.0937472552,0.03956155630639117
Ekcp6P7avdv7QTkAzXdf3v9mRZwxr5XBFMVAqSUDiPLT,4925.197689785031,0.04209214510725187
F16yttdiXzjEcZ8LpexaAfcvNHw1U4t4LsxPjJEnRTCj,1096.3921662031933,0.009370080362458162
BVSUY4Do6zdjBj4CuTKmZeggRBWLVJ6AwAtXYs1f2Yhd,6339.214498249916,0.05417673631248224
7En1W6T2tAePRzWb6h6FRbNpbVLawH8dcvnXP19oTTv5,16125.277736657796,0.1378112256882349
25jVujwUizRAxCR9qjuNHXqejRuebLZmJVCe9zZSfM8K,13212.746838499213,0.11291990539688704
DDPq89Cm6zcqjhwQv8oY3VJiqs92tHLnGmph3DAc6MRi,2847.442759310389,0.02433505848061052
AwhAAx4ZxXnrbPebWrLLuRYj5M9qznqQnYaquVnheTb6,5163.18607573577,0.04412606177542046
9332oAnLyffprnFHopGGnHVKzMcRnCKMo3m4TUCrHnoy,10136.589840700344,0.08663018975916008
5PUAJXtYARuzzpHL5q4n3npqk3LPwk4MwiGz3WgJoWTL,2319.068389217792,0.019819420315868932
2yAkdK9Ex8a9zTaLSdU4YqhbhPDof1UbteFpLFb4G3UL,1815.2195011086085,0.015513383919724812
3ZW9JMEKptL3RaZoa3E8Ta6EECwaC6KkUvxBoVYszRHu,2414.6658831260374,0.020636423782312757
4pWbP4hmrWrQG916jsH2ToPFCbcDPac3GM2nMS9LJ1Ja,897.5934413791813,0.007671089722999347
3UdyxqBqMtcLtnBvkHH7yWcty6kbZs27rNpWkuWuBoee,12323.896067024627,0.10532353302604845
H1QP9jJAGSZ1XC5FmGdSBbHnByN22f3h4mHGBPDwqmur,1867.7337584137717,0.015962185750212347
3QzBwnzeUxfokpxqjauGkEPBEQE6NZrt1wJEynsDKtgB,21715.336208779754,0.18558546079246077
B4uKxHpoiFfTwfs4tjxmVg19TQ4D92a4wZSun16FUzZJ,11359.013712031312,0.09707737304306142
9AcbCJJ3X3vg1CuSRy9yDX54AnLAeYAcW3tBaR4eXiL3,6845.591730039904,0.05850438065531125
8ab7cZsqm1SwYRzbecjyrPsqcHN2f4bY9cM2uXFaF1H1,3004.9988728958115,0.025681577993792074
8stg9TshwM7D7BcpvLFYuPQJcjLmju6KdUviHfYQqego,34995.45338770323,0.29908113234609407
2ktbELxZGNNh4dZQxLHs1YYGVdySzqxSCeQNeM94uGid,8670.789413163067,0.07410304096630342
9qsmkCXCMtVUy6pt5KDogRdDjgrxjhrj8SmiB1WoF2Aq,2622.9161906492905,0.02241619034499893
2X8crn6JwVBu8YftLJCYZ7Q6DR3UBedMQoCXwK81kmtF,22663.07678130672,0.1936851222102294
